,source,destination,airline,equipment,avg_capacity,visa,source_lat,source_lon,dest_lat,dest_lon
82,9,5443,921,DH7,50.0,,67.0122218992,-50.7116031647,65.4124984741,-52.9393997192
83,9,7,921,DH8,0.0,,67.0122218992,-50.7116031647,61.1604995728,-45.4259986877
84,10,5446,921,BH2,14.0,,76.5311965942,-68.7032012939,77.4886016846,-69.3887023926
85,11,18,896,F50 DH8,29.0,0.0,65.66000366210938,-18.07270050048828,64.1299972534,-21.9405994415
86,12,18,896,F50 DH8,29.0,0.0,65.2833023071289,-14.401399612426758,64.1299972534,-21.9405994415
87,8199,8200,16726,CNA,0.0,0.0,60.471000671387,-164.70100402832,60.54140091,-165.0870056
88,8200,6720,16726,CNC CNA,0.0,0.0,60.54140091,-165.0870056,60.37139892578125,-166.27099609375
89,15,18,896,DH8,0.0,0.0,66.05809783935547,-23.135299682617188,64.1299972534,-21.9405994415
90,16,421,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,60.317199707031,24.963300704956
91,16,636,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,60.29339981,5.218140125
92,16,644,4319,738 73W,94.0,0.0,63.985000610352,-22.605600357056,60.121,11.0502
93,16,580,2835,75W 75T,0.0,0.0,63.985000610352,-22.605600357056,52.308601,4.76389
94,16,737,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,59.651901245117,17.918600082397
95,16,608,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,55.7402992249,9.15178012848
96,16,3448,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,42.36429977,-71.00520325
97,16,302,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,50.9014015198,4.48443984985
98,16,1382,1441,320,180.0,0.0,63.985000610352,-22.605600357056,49.012798,2.55
99,16,609,1441,320,180.0,0.0,63.985000610352,-22.605600357056,55.617900848389,12.656000137329
100,16,3751,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,39.861698150635,-104.672996521
101,16,3494,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,40.692501068115234,-74.168701171875
102,16,340,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,50.033333,8.570556
103,16,534,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,55.8718986511,-4.43306016922
104,16,3714,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,38.94449997,-77.45580292
105,16,3797,2835,75T,0.0,1.0,63.985000610352,-22.605600357056,40.63980103,-73.77890015
106,16,502,1441,320,180.0,0.0,63.985000610352,-22.605600357056,51.148102,-0.190278
107,16,507,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,51.4706,-0.461941
108,16,478,2297,320 319,168.0,0.0,63.985000610352,-22.605600357056,53.35369873046875,-2.2749500274658203
109,16,346,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,48.353802,11.7861
110,16,3577,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,47.449001,-122.308998
111,16,4167,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,28.777599334716797,-81.23750305175781
112,16,49,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,53.3097000122,-113.580001831
113,16,193,2835,75W,0.0,1.0,63.985000610352,-22.605600357056,43.6772003174,-79.63059997559999
114,16,1678,2835,75W,0.0,0.0,63.985000610352,-22.605600357056,47.464699,8.54917
115,16,8,921,DH8,0.0,,63.985000610352,-22.605600357056,64.19090271,-51.6781005859
116,16,490,2297,320 319,168.0,0.0,63.985000610352,-22.605600357056,51.382702,-2.71909
117,16,1423,2297,320,180.0,0.0,63.985000610352,-22.605600357056,47.59,7.5291667
118,16,535,2297,319,156.0,0.0,63.985000610352,-22.605600357056,55.95000076293945,-3.372499942779541
119,16,492,2297,319,156.0,0.0,63.985000610352,-22.605600357056,51.874698638916016,-0.36833301186561584
120,16,1212,1441,320,180.0,0.0,63.985000610352,-22.605600357056,38.28219985961914,-0.5581560134887695
121,16,337,1441,320,180.0,0.0,63.985000610352,-22.605600357056,52.380001,13.5225
122,8209,1590,18553,320,180.0,0.0,49.242531,28.613778,32.01139831542969,34.88669967651367
123,18,11,896,F50 DH8,29.0,0.0,64.1299972534,-21.9405994415,65.66000366210938,-18.07270050048828
124,18,12,896,F50 DH8,29.0,0.0,64.1299972534,-21.9405994415,65.2833023071289,-14.401399612426758
125,18,8,896,DH8,0.0,,64.1299972534,-21.9405994415,64.19090271,-51.6781005859
126,18,15,896,DH8,0.0,0.0,64.1299972534,-21.9405994415,66.05809783935547,-23.135299682617188
127,21,193,330,DH1,37.0,0.0,46.48500061035156,-84.5093994140625,43.6772003174,-79.63059997559999
128,21,121,1434,SWM,0.0,0.0,46.48500061035156,-84.5093994140625,48.37189865112305,-89.32389831542969
129,21,133,1434,SWM,0.0,0.0,46.48500061035156,-84.5093994140625,46.625,-80.79889678955078
130,21,144,4021,DH4,78.0,0.0,46.48500061035156,-84.5093994140625,43.627499,-79.396202
