,name,city,country,region,iso,iata,icao,lat,lon
2879,L'Espérance Airport,St. Martin,Guadeloupe,Latin America & Caribbean,,SFG,TFFG,18.099899291992,-63.047199249268
2881,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,Latin America & Caribbean,,PTP,TFFR,16.265301,-61.531799
2882,Point Salines International Airport,Point Salines,Grenada,Latin America & Caribbean,GRD,GND,TGPY,12.004199981689451,-61.78620147705078
2883,Cyril E. King Airport,St. Thomas,Virgin Islands,Latin America & Caribbean,,STT,TIST,18.337299346923828,-64.97339630126953
2884,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,Latin America & Caribbean,,STX,TISX,17.701900482177734,-64.79859924316406
2885,Rafael Hernandez Airport,Aguadilla,Puerto Rico,Latin America & Caribbean,,BQN,TJBQ,18.49489974975586,-67.12940216064453
2888,Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,Latin America & Caribbean,,MAZ,TJMZ,18.255699157714844,-67.14849853515625
2889,Mercedita Airport,Ponce,Puerto Rico,Latin America & Caribbean,,PSE,TJPS,18.00830078125,-66.56300354003906
2890,Luis Munoz Marin International Airport,San Juan,Puerto Rico,Latin America & Caribbean,,SJU,TJSJ,18.4393997192,-66.0018005371
2891,Robert L. Bradshaw International Airport,Basse Terre,Saint Kitts and Nevis,Latin America & Caribbean,KNA,SKB,TKPK,17.311199188232422,-62.71870040893555
2893,George F. L. Charles Airport,Castries,Saint Lucia,Latin America & Caribbean,LCA,SLU,TLPC,14.0202,-60.992901
2894,Hewanorra International Airport,Hewandorra,Saint Lucia,Latin America & Caribbean,LCA,UVF,TLPL,13.7332,-60.952599
2895,Queen Beatrix International Airport,Oranjestad,Aruba,Latin America & Caribbean,,AUA,TNCA,12.5014,-70.015198
2896,Flamingo International Airport,Kralendijk,Netherlands Antilles,Latin America & Caribbean,,BON,TNCB,12.130999565124512,-68.26850128173828
2897,Hato International Airport,Willemstad,Netherlands Antilles,Latin America & Caribbean,,CUR,TNCC,12.1889,-68.959801
2898,F. D. Roosevelt Airport,Oranjestad,Netherlands Antilles,Latin America & Caribbean,,EUX,TNCE,17.49650001525879,-62.979400634765625
2899,Princess Juliana International Airport,Philipsburg,Netherlands Antilles,Latin America & Caribbean,,SXM,TNCM,18.0410003662,-63.1088981628
2900,Clayton J Lloyd International Airport,The Valley,Anguilla,Latin America & Caribbean,,AXA,TQPF,18.2048,-63.055099
2901,Tobago-Crown Point Airport,Scarborough,Trinidad and Tobago,Latin America & Caribbean,TTO,TAB,TTCP,11.149700164794922,-60.83219909667969
2902,Piarco International Airport,Port-of-spain,Trinidad and Tobago,Latin America & Caribbean,TTO,POS,TTPP,10.595399856567385,-61.33720016479492
2903,Terrance B. Lettsome International Airport,Tortola,Virgin Islands,Latin America & Caribbean,,EIS,TUPJ,18.444799423217773,-64.54299926757812
2907,Argyle International Airport,Kingstown,Saint Vincent and the Grenadines,Latin America & Caribbean,VCT,SVD,TVSA,13.156695,-61.149945
2908,Almaty Airport,Alma-ata,Kazakhstan,Europe & Central Asia,KAZ,ALA,UAAA,43.35210037231445,77.04049682617188
2910,Astana International Airport,Tselinograd,Kazakhstan,Europe & Central Asia,KAZ,TSE,UACC,51.02220153808594,71.46690368652344
2911,Taraz Airport,Dzhambul,Kazakhstan,Europe & Central Asia,KAZ,DMB,UADD,42.85359954833984,71.30359649658203
2912,Manas International Airport,Bishkek,Kyrgyzstan,Europe & Central Asia,KGZ,FRU,UAFM,43.0612983704,74.4776000977
2913,Osh Airport,Osh,Kyrgyzstan,Europe & Central Asia,KGZ,OSS,UAFO,40.6090011597,72.793296814
2914,Shymkent Airport,Chimkent,Kazakhstan,Europe & Central Asia,KAZ,CIT,UAII,42.364200592041016,69.47889709472656
2916,Uralsk Airport,Uralsk,Kazakhstan,Europe & Central Asia,KAZ,URA,UARR,51.15079879760742,51.54309844970703
2917,Pavlodar Airport,Pavlodar,Kazakhstan,Europe & Central Asia,KAZ,PWQ,UASP,52.19499969482422,77.07389831542969
2918,Semipalatinsk Airport,Semiplatinsk,Kazakhstan,Europe & Central Asia,KAZ,PLX,UASS,50.351295,80.234398
2920,Aktobe Airport,Aktyubinsk,Kazakhstan,Europe & Central Asia,KAZ,AKX,UATT,50.2458,57.206699
2922,Heydar Aliyev International Airport,Baku,Azerbaijan,Europe & Central Asia,AZE,GYD,UBBB,40.467498779296875,50.04669952392578
2923,Yakutsk Airport,Yakutsk,Russia,Europe & Central Asia,RUS,YKS,UEEE,62.093299865722656,129.77099609375
2925,Mirny Airport,Mirnyj,Russia,Europe & Central Asia,RUS,MJZ,UERR,62.534698486328125,114.03900146484375
2926,Ignatyevo Airport,Blagoveschensk,Russia,Europe & Central Asia,RUS,BQS,UHBB,50.42539978027344,127.41200256347656
2927,Khabarovsk-Novy Airport,Khabarovsk,Russia,Europe & Central Asia,RUS,KHV,UHHH,48.52799987793,135.18800354004
2930,Sokol Airport,Magadan,Russia,Europe & Central Asia,RUS,GDX,UHMM,59.9109992980957,150.72000122070312
2931,Pevek Airport,Pevek,Russia,Europe & Central Asia,RUS,PWE,UHMP,69.783302307129,170.59700012207
2932,Yelizovo Airport,Petropavlovsk,Russia,Europe & Central Asia,RUS,PKC,UHPP,53.16790008544922,158.45399475097656
2933,Yuzhno-Sakhalinsk Airport,Yuzhno-sakhalinsk,Russia,Europe & Central Asia,RUS,UUS,UHSS,46.88869857788086,142.71800231933594
2934,Vladivostok International Airport,Vladivostok,Russia,Europe & Central Asia,RUS,VVO,UHWW,43.39899826049805,132.1479949951172
2935,Chita-Kadala Airport,Chita,Russia,Europe & Central Asia,RUS,HTA,UIAA,52.026299,113.306
2936,Bratsk Airport,Bratsk,Russia,Europe & Central Asia,RUS,BTK,UIBB,56.370601654052734,101.697998046875
2937,Irkutsk Airport,Irkutsk,Russia,Europe & Central Asia,RUS,IKT,UIII,52.268001556396,104.38899993896
2938,Ulan-Ude Airport (Mukhino),Ulan-ude,Russia,Europe & Central Asia,RUS,UUD,UIUU,51.80780029296875,107.43800354003906
2939,Boryspil International Airport,Kiev,Ukraine,Europe & Central Asia,UKR,KBP,UKBB,50.345001220703125,30.894699096679688
